,p_mood,p_creator,p_name,pitch_mean,pitch_variance,timbre_mean,timbre_variance,intensity_mean,intensity_variance,rhythm_mean,rhythm_variance
1150,energetic,uptown_as,Workout Motivation,0.249406746,0.111417164,4.800323413,0.111417164,-24.46659524,56.56205615,0.18740364,3.39E-06
1151,energetic,uptown_as,Workout Motivation,0.336946429,0.124782166,-11.63110714,0.124782166,-26.95385714,109.5543955,0.3061954,1.77E-06
1152,energetic,uptown_as,Workout Motivation,0.430347222,0.087486263,19.06034722,0.087486263,-16.6455,87.51986884,0.30534224,4.54E-05
1153,energetic,uptown_as,Workout Motivation,0.278732143,0.089191302,1.039039683,0.089191302,-25.00561905,83.06775712,0.22379256,2.41E-06
1154,energetic,uptown_as,Workout Motivation,0.302325397,0.088076168,14.57312698,0.088076168,-28.00730952,156.78119,0.25427932,3.06E-06
1155,energetic,uptown_as,Workout Motivation,0.355009921,0.10150793,15.78826587,0.10150793,-33.08961905,178.1717261,0.20015256,1.23E-05
1156,energetic,uptown_as,Workout Motivation,0.223277778,0.080954793,24.11579762,0.080954793,-20.82640476,129.2498708,0.20406824,2.48E-06
1157,energetic,uptown_as,Workout Motivation,0.260801587,0.088983241,8.707613095,0.088983241,-22.04390476,24.19714667,0.21123776,1.12E-06
1158,energetic,uptown_as,Workout Motivation,0.342345238,0.101644803,4.349111111,0.101644803,-28.80478571,73.61721481,0.238061,5.68E-06
1159,energetic,uptown_as,Workout Motivation,0.288573413,0.096276003,18.73899206,0.096276003,-22.31628571,38.83106567,0.20011824,4.22E-06
1160,energetic,uptown_as,Workout Motivation,0.286244048,0.115760431,-17.53214087,0.115760431,-26.22607143,9.301808751,0.30000124,1.07E-06
1161,energetic,uptown_as,Workout Motivation,0.342345238,0.101644803,4.349111111,0.101644803,-28.80478571,73.61721481,0.238061,5.68E-06
1162,energetic,uptown_as,Workout Motivation,0.263349206,0.08852224,43.78944841,0.08852224,-31.77702381,42.4334888,0.37539208,7.47E-06
1163,energetic,uptown_as,Workout Motivation,0.54243254,0.099102361,29.17900198,0.099102361,-34.33257143,25.91345601,0.1764482,7.93E-07
1164,energetic,uptown_as,Workout Motivation,0.19565873,0.072303609,15.11325595,0.072303609,-27.94607143,43.33697904,0.35503358,0.014080823
1165,energetic,uptown_as,Workout Motivation,0.260615079,0.087353323,26.04578968,0.087353323,-27.41852381,64.06327982,0.1882448,6.49E-06
1166,energetic,uptown_as,Workout Motivation,0.283438492,0.08330905,14.41671627,0.08330905,-22.42928571,40.88632806,0.21170068,1.22E-05
1167,energetic,uptown_as,Workout Motivation,0.293406746,0.100658623,3.206390873,0.100658623,-29.09969048,35.39187139,0.17962908,1.41E-05
1168,energetic,uptown_as,Workout Motivation,0.222311508,0.09738703,-4.099073413,0.09738703,-30.11133333,57.02156076,0.2343552,5.31E-07
1169,energetic,uptown_as,Workout Motivation,0.285150794,0.131894609,-6.560797619,0.131894609,-24.4262619,9.243628783,0.21274228,1.23E-06
1170,energetic,uptown_as,Workout Motivation,0.29025,0.09724857,5.994579365,0.09724857,-28.47385714,85.97393764,0.28477388,8.07E-06
1171,energetic,uptown_as,Workout Motivation,0.418400794,0.092599322,6.730759921,0.092599322,-18.61290476,108.2518136,0.27867932,7.70E-05
1172,energetic,uptown_as,Workout Motivation,0.380970238,0.074042339,14.81353175,0.074042339,-19.03154762,145.1244701,0.22805552,6.26E-07
1173,energetic,uptown_as,Workout Motivation,0.336952381,0.091914833,5.559611111,0.091914833,-20.33792857,109.1175571,0.28793724,1.54E-05
1174,energetic,uptown_as,Workout Motivation,0.337162698,0.101612061,12.25435119,0.101612061,-25.64604762,140.5556378,0.18406428,7.55E-07
1175,energetic,uptown_as,Workout Motivation,0.405650794,0.113237743,9.893152778,0.113237743,-28.2762619,175.7142575,0.3319596,1.53E-05
1176,energetic,uptown_as,Workout Motivation,0.200644841,0.066472663,8.917563492,0.066472663,-16.45559524,67.10937659,0.17440344,2.48E-06
1177,energetic,uptown_as,Workout Motivation,0.389253968,0.121479562,3.479438492,0.121479562,-32.63204762,217.6022245,0.1744852,0.00340074
1178,energetic,uptown_as,Workout Motivation,0.405480159,0.081152819,10.96397222,0.081152819,-20.42342857,60.03734747,0.20273884,3.85E-06
1179,energetic,uptown_as,Workout Motivation,0.289297619,0.086746627,5.860861111,0.086746627,-22.74466667,96.91233633,0.2725182,0.00038002
1180,energetic,uptown_as,Workout Motivation,0.409083333,0.101482653,6.226662698,0.101482653,-21.82269048,100.2512057,0.22046728,4.68E-06
1181,energetic,uptown_as,Workout Motivation,0.256878968,0.101306496,2.505988095,0.101306496,-22.38659524,44.75756776,0.19484,7.28E-07
1182,energetic,uptown_as,Workout Motivation,0.54146627,0.07632273,9.311605159,0.07632273,-33.2565,58.2535724,0.31299232,1.11E-05
1183,energetic,uptown_as,Workout Motivation,0.249845238,0.090055443,25.43433333,0.090055443,-24.57597619,90.91607622,0.2142433,0.005114403
1184,energetic,uptown_as,Workout Motivation,0.291769841,0.080887108,13.04462897,0.080887108,-25.39669048,83.0369351,0.19743828,8.04E-06
1185,energetic,uptown_as,Workout Motivation,0.269744048,0.088610119,-6.507781746,0.088610119,-27.22240476,40.85385176,0.21454116,1.05E-05
1186,energetic,uptown_as,Workout Motivation,0.323857143,0.081893113,0.58810119,0.081893113,-44.07640476,98.07586405,0.2530274,0.007143908
1187,energetic,uptown_as,Workout Motivation,0.331759921,0.095934207,6.720140873,0.095934207,-22.15435714,87.75450945,0.21428292,2.32E-06
1188,energetic,uptown_as,Workout Motivation,0.313539683,0.099703768,-7.30718254,0.099703768,-34.81566667,189.1948657,0.345268939,2.04E-05
1189,energetic,uptown_as,Workout Motivation,0.348363095,0.095164689,4.49269246,0.095164689,-29.89585714,24.52138452,0.21122836,1.30E-06
1190,energetic,uptown_as,Workout Motivation,0.290787698,0.087675011,5.435345238,0.087675011,-28.09202381,107.5360779,0.22900812,8.54E-06
1191,energetic,uptown_as,Workout Motivation,0.45439881,0.097973509,18.4599881,0.097973509,-26.65657143,64.72365235,0.2072168,2.16E-05
1192,energetic,uptown_as,Workout Motivation,0.31105754,0.097184368,10.71570437,0.097184368,-22.55971429,131.4742224,0.20025256,4.97E-06
1193,energetic,uptown_as,Workout Motivation,0.276305556,0.095980097,-2.119884921,0.095980097,-26.54092857,40.91365265,0.249993684,1.33E-06
1194,energetic,uptown_as,Workout Motivation,0.418613095,0.077622429,17.35771627,0.077622429,-32.38302381,31.14817695,0.21417572,8.77E-07
